Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmf0489,905.09998,302.7,2.69,904.09998,[M+H]+,-,Quercetin O-dihexoside-rhamnosyl-xyloside,Flavonoids,-0.6991142690244946,-0.5303443401403238,-0.5885419853447436,-0.5541745736919943,-0.7005493516266454,-0.4757536520551195,-0.4067351354930534,-0.4602315781600688,-0.6993412236297487,-0.5238599228473522,-0.411557920854701,-0.6608837657694575,-0.5890688442497976,-0.2705623723406505,0.1363348127933149,0.6121289316651034,0.6319874596248287,1.5851968016916482,1.3582421964376434,3.2468287330156107,6
pmb0595,479.2,317.2,3.98,478.2,[M+H]+,-,Isorhamnetin 5-O-hexoside,Flavonoids,-0.9124059432021852,0.0524464253453247,0.3504703229661773,0.5495811166352813,-0.8888337944032946,1.6061529088471398,0.3273477791852491,3.2118851158560435,-0.894871347501648,1.2246309364618244,0.1642053869531444,-0.5975539720518794,-0.499925453865738,-0.5808543570989867,-0.4976774287759255,-0.6572872101526106,-0.4922179392720953,-0.5917733361066473,-0.5400687590409606,-0.3332504507782138,5
pmb0706,713.1,465.1,2.96,712.1,[M+H]+,-,Quercetin 5-O-malonylhexosyl-hexoside,Flavonoids,-0.6621961092719234,-0.1482025551351617,-0.5734649120612565,-0.5555736154915502,-0.6621961092719234,1.018172355851457,-0.3981302056781353,-0.4831826770633542,-0.6621961092719234,-0.0621867062423432,-0.302205330992864,-0.6190065193526526,-0.605641720815082,-0.5781441742410258,-0.5434625839674414,-0.5024502272153455,0.2068708690943929,1.477841052334679,1.377374540827867,3.277980737963585,6
pmb0711,611.2,303.1,3.7,610.2,[M+H]+,-,Quercetin 7-O-rutinoside,Flavonoids,-1.598444166916307,0.0904393608305798,0.1479218531951106,1.4748093852763646,-1.6673944165075618,0.9287257078133216,0.9430963309044544,2.0975363858921154,-1.6721989948276972,0.9143550847221888,0.1373833962616135,0.3059987071975705,0.4305441073207209,0.0952295685276241,0.2394148202086558,0.1143903993158011,-0.8053294785166927,-0.510731705148472,-0.8613749085721103,-0.8043714369772837,9
pmb3026,505.1,301.2,3.65,506.1,[M-H]-,-,Quercetin O-acetylhexoside,Flavonoids,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4523754209783969,-0.4515714507905456,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.4539360303209636,-0.452197929604137,-0.452636399036105,0.4159849123267746,1.5642007161808935,2.344286262310792,2.9315416734422874,6
pmb3894,329.1,229.1,5.89,330.1,[M-H]-,-,Di-O-Methylquercetin,Flavonoids,-0.0473234213683465,-0.0699315493875473,-0.3319443883828869,-0.3015002392929534,0.2235351220849911,0.2838966289323718,-0.3114434256936311,4.272585001407292,0.025988372402654,-0.2068972958339676,-0.2920618945859085,-0.3822749102741757,-0.3790044140849903,-0.3806725866378633,-0.3788288169741615,-0.3669540623543678,-0.3750534790913435,-0.3531477395154577,-0.3614886022798231,-0.2674782990698843,5
pme0200,287.048,153.0,5.72,286.048,[M+H]+,C05903,Kaempferol,Flavonoids,-0.4685004676610128,-0.4685004676610128,-0.2719218552483429,2.0150916176207465,-0.4685004676610128,-0.4559318177545637,-0.199885892950132,3.706482323838834,-0.4685004676610128,-0.4424220804546701,-0.0736946288291569,-0.2002281065477482,-0.3903277600235494,-0.4035885369311773,-0.4319580441735606,-0.3791202647016187,-0.2291451555463174,-0.20998119407981,-0.1322987074209318,-0.0270680261539491,5
pme0369,593.159,285.0,3.94,594.1585,[M-H]-,-,Kaempferol 3-O-rutinoside (Nicotiflorin),Flavonoids,-0.7550702978723159,-0.5688713966971835,-0.4697023593824708,2.4917179614002034,-0.7557022495513983,-0.2914389886629064,-0.3761542391625193,3.2384969468470275,-0.7557962393151043,-0.5006174034036566,-0.549037589234241,0.0498309778047281,0.238131700479223,0.0076740995940203,-0.0200289918015876,-0.2657433676582845,-0.1019337837538199,-0.176210188220305,-0.2191700545874073,-0.2203745368219989,9
pme1478,317.0,151.0,4.68,318.038,[M-H]-,C10107,Myricetin,Flavonoids,-0.5536943987803398,-0.3067295577698233,-0.5536943987803398,2.258585516520005,-0.5536943987803398,-0.2440746298178952,-0.5536943987803398,3.341572577624569,-0.5536943987803398,-0.4436945776905435,0.1650351013520866,-0.5536943987803398,-0.5536943987803398,-0.5536943987803398,-0.5536943987803398,-0.5536943987803398,0.4496771127465986,-0.0483621935809586,0.0875585775405627,0.2773760608787964,5
pme1502,315.079,300.0,7.22,314.079,[M+H]+,-,Kumatakenin,Flavonoids,0.7896681284248097,1.9433008418098143,0.081125315637813,0.383794904470689,0.758344116262711,1.3386311312206427,0.4711075053004755,2.637432494895688,-0.5940498486480504,-0.6493689702391582,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,-0.7159985619135433,7
pme1521,303.058,125.0,4.12,304.058,[M-H]-,C01617,Dihydroquercetin (Taxifolin),Flavonoids,-1.341666011648898,-0.4290271613904234,0.5458051381999989,1.9542340875770527,-1.341666011648898,-0.3694304269176465,0.8583839292102776,2.3677624492248928,-1.11367201449391,-0.2228711105101033,-0.7586335908214956,-0.4655149580064093,-0.4059182235336324,-0.4679474777808084,-0.7002531162359185,-0.5962628958803587,0.1590344940705487,0.8839253868414677,0.2429564262873162,1.2007610874569448,5
pme1566,463.096,300.0,3.85,464.3763,[M-H]-,C10073,Quercetin 3-O-galactoside (Hyperin),Flavonoids,-0.7652333054124465,-0.1878067846247679,1.882327942311315,0.2751107494488168,-0.7652333054124465,0.2442495805105778,3.1005319793470645,-0.0115732672669295,-0.7652333054124465,-0.4647451690442283,1.43484099270685,0.3002869662142222,-0.074107741168098,-0.6529982995674861,-0.6427653856563859,-0.6683476704341366,-0.5842103782762008,-0.5359694984095851,-0.6075186821848181,-0.5116054176688701,8
pme1588,315.058,151.0,5.9,316.058,[M-H]-,C10084,Isorhamnetin,Flavonoids,-0.498221937943531,-0.4581851096066078,2.272598162443202,0.0525064608593221,-0.4827118369764869,-0.4094605573411584,2.347775870856624,0.4274552815712664,-0.4723326146086587,-0.3700862325596284,2.328981443753269,-0.5276446135738342,-0.5171620218569377,-0.5276446135738342,-0.5276446135738342,-0.5276446135738342,-0.5276446135738342,-0.5276446135738342,-0.5276446135738342,-0.5276446135738342,8
pme1605,593.159,285.0,3.95,594.159,[M-H]-,-,Kaempferol 3-O-robinobioside (Biorobin),Flavonoids,-0.7792631076320335,-0.5816699026786497,-0.47633760075863,2.506520287887732,-0.7802064263520512,-0.2979522507327903,-0.3701558447908683,3.1988253367975386,-0.7800331377263118,-0.5145630329070243,-0.5553368271986447,0.0532969980085654,0.3094073934028066,0.0278133765763026,-0.0146593258108021,-0.2593020915605251,-0.0843145577256537,-0.1743566867863157,-0.1985661271469654,-0.2291464728656807,9
pme2973,675.2,513.0,4.78,676.237,[M-H]-,C17555,"Kaempferol 3,7-O-diglucoside 8-prenyl derivative (Icariin)",Flavonoids,-0.4958547109936676,-0.4969861700873936,-0.4971442882404602,-0.4971743418146929,-0.4955181046945717,-0.4971773346367359,-0.4977035385626385,-0.4966351794394208,-0.4953222393776226,-0.4967998473286863,-0.4958077033175999,-0.4965601081807406,-0.4953316409128362,-0.495820520743941,-0.4968108157864355,-0.4764564920490896,1.6035391585977512,1.7962706304756224,2.4167719545702324,2.1065212925229275,6
pme3211,463.0,301.0,3.84,464.096,[M-H]-,C05623,Quercetin 3-O-glucoside (Isotrifoliin),Flavonoids,-0.7851628962943946,-0.1857170188869626,1.944232030019461,0.2361276804698035,-0.7851628962943946,0.3050002844464184,3.060223298159055,-0.0329856424758583,-0.7851628962943946,-0.4647148359218611,1.3862363959496646,0.3493210805239624,-0.0317102238836987,-0.6573030433379509,-0.6506070957291133,-0.6821737058850618,-0.5948075323221337,-0.5457039165239915,-0.5906624218976152,-0.489266643820932,8
pme3267,447.0,285.0,3.86,448.101,[M-H]-,C12626,Kaempferol 3-O-galactoside (Trifolin),Flavonoids,-0.6237407303871064,-0.4766119062766192,-0.5000358420495972,-0.4800741046356738,-0.6237407303871064,-0.338123971914441,-0.4809937510747976,-0.3868111363386443,-0.6237407303871064,-0.3354191294464298,-0.5152862848527384,-0.5635996400478624,-0.4550272633818891,-0.3073969614778327,-0.3976305062106895,-0.2905187444774423,0.6199312302551593,2.935817351366429,1.8863384737780475,1.9566643779463404,6
